swimming-pool 487.0 3647.0 520.0 3682.0
small-vehicle 2099.0 674.0 2117.0 694.0 difficult
small-vehicle 1904.0 607.0 1922.0 630.0 difficult
small-vehicle 1962.0 572.0 1980.0 583.0 difficult
small-vehicle 1844.0 571.0 1864.0 593.0 difficult
small-vehicle 1854.0 574.0 1872.0 597.0 difficult
small-vehicle 1864.0 580.0 1881.0 600.0 difficult
small-vehicle 1880.0 590.0 1896.0 610.0 difficult
small-vehicle 1888.0 597.0 1906.0 617.0 difficult
small-vehicle 1896.0 603.0 1913.0 622.0 difficult
small-vehicle 2078.0 550.0 2099.0 564.0 difficult
small-vehicle 2078.0 664.0 2094.0 684.0 difficult
small-vehicle 2067.0 575.0 2084.0 585.0 difficult
small-vehicle 2061.0 584.0 2079.0 596.0 difficult
small-vehicle 2050.0 596.0 2068.0 605.0 difficult
small-vehicle 2045.0 606.0 2061.0 619.0 difficult
small-vehicle 2040.0 618.0 2056.0 629.0 difficult
small-vehicle 2060.0 653.0 2078.0 673.0 difficult
small-vehicle 2069.0 658.0 2086.0 679.0 difficult
small-vehicle 1964.0 916.0 1980.0 928.0 difficult
small-vehicle 1973.0 901.0 1989.0 916.0 difficult
small-vehicle 1982.0 905.0 1997.0 925.0 difficult
small-vehicle 2105.0 1934.0 2117.0 1953.0 difficult
small-vehicle 2017.0 1663.0 2030.0 1681.0 difficult
small-vehicle 2014.0 1754.0 2029.0 1772.0 difficult
small-vehicle 2020.0 1770.0 2038.0 1790.0 difficult
small-vehicle 2031.0 1787.0 2045.0 1804.0 difficult
small-vehicle 2055.0 1836.0 2068.0 1856.0 difficult
small-vehicle 2066.0 1857.0 2080.0 1875.0 difficult
small-vehicle 2096.0 1916.0 2112.0 1935.0 difficult
small-vehicle 2106.0 1955.0 2120.0 1972.0 difficult
small-vehicle 1984.0 1700.0 2002.0 1721.0 difficult
small-vehicle 2132.0 1853.0 2150.0 1873.0 difficult
small-vehicle 2143.0 1873.0 2157.0 1892.0 difficult
small-vehicle 2151.0 1888.0 2165.0 1905.0 difficult
small-vehicle 2161.0 1906.0 2175.0 1924.0 difficult
small-vehicle 2170.0 1923.0 2186.0 1942.0 difficult
small-vehicle 2180.0 1942.0 2194.0 1959.0 difficult
small-vehicle 2136.0 2018.0 2152.0 2038.0 difficult
small-vehicle 1994.0 1718.0 2011.0 1740.0 difficult
small-vehicle 1975.0 1683.0 1993.0 1701.0 difficult
small-vehicle 1989.0 908.0 2006.0 929.0 difficult
small-vehicle 1889.0 1540.0 1904.0 1558.0 difficult
small-vehicle 1996.0 912.0 2016.0 934.0 difficult
small-vehicle 2005.0 918.0 2025.0 940.0 difficult
small-vehicle 1741.0 1325.0 1761.0 1336.0 difficult
small-vehicle 1839.0 1343.0 1857.0 1355.0 difficult
small-vehicle 1856.0 1454.0 1870.0 1472.0 difficult
small-vehicle 1866.0 1472.0 1878.0 1489.0 difficult
small-vehicle 1885.0 1480.0 1902.0 1502.0 difficult
small-vehicle 1903.0 1547.0 1921.0 1565.0 difficult
small-vehicle 1967.0 1665.0 1983.0 1686.0 difficult
large-vehicle 1919.0 1573.0 1941.0 1603.0 difficult
large-vehicle 1940.0 1585.0 1964.0 1621.0 difficult
large-vehicle 1931.0 1610.0 1960.0 1643.0 difficult
large-vehicle 1868.0 1615.0 1903.0 1643.0 difficult
large-vehicle 1790.0 1599.0 1827.0 1626.0 difficult
large-vehicle 1795.0 1612.0 1833.0 1636.0 difficult
small-vehicle 1959.0 1650.0 1975.0 1668.0 difficult
small-vehicle 1280.0 3302.0 1299.0 3322.0 difficult
small-vehicle 1254.0 3333.0 1269.0 3349.0 difficult
small-vehicle 1244.0 3346.0 1262.0 3364.0 difficult
small-vehicle 419.0 2178.0 437.0 2191.0 difficult
small-vehicle 615.0 1578.0 631.0 1594.0 difficult
small-vehicle 629.0 1607.0 644.0 1627.0 difficult
small-vehicle 609.0 1562.0 626.0 1580.0 difficult
small-vehicle 666.0 1686.0 680.0 1703.0 difficult
small-vehicle 674.0 1701.0 689.0 1722.0 difficult
small-vehicle 689.0 1686.0 708.0 1709.0 difficult
small-vehicle 715.0 1737.0 733.0 1761.0 difficult
small-vehicle 731.0 1742.0 743.0 1760.0 difficult
small-vehicle 732.0 1787.0 750.0 1806.0 difficult
small-vehicle 752.0 1837.0 767.0 1854.0 difficult
small-vehicle 767.0 1807.0 785.0 1826.0 difficult
small-vehicle 644.0 1996.0 663.0 2014.0 difficult
small-vehicle 617.0 2007.0 643.0 2029.0 difficult
small-vehicle 596.0 2023.0 622.0 2044.0 difficult
small-vehicle 524.0 2089.0 543.0 2106.0 difficult
small-vehicle 476.0 2119.0 497.0 2138.0 difficult
small-vehicle 458.0 2133.0 477.0 2151.0 difficult
small-vehicle 621.0 1592.0 637.0 1611.0 difficult
small-vehicle 654.0 1609.0 670.0 1628.0 difficult
small-vehicle 544.0 1543.0 567.0 1559.0 difficult
small-vehicle 479.0 1200.0 496.0 1218.0 difficult
small-vehicle 308.0 826.0 325.0 844.0 difficult
small-vehicle 317.0 872.0 333.0 887.0 difficult
small-vehicle 346.0 912.0 358.0 927.0 difficult
small-vehicle 375.0 1138.0 389.0 1152.0 difficult
small-vehicle 421.0 1106.0 442.0 1127.0 difficult
small-vehicle 437.0 1106.0 450.0 1124.0 difficult
small-vehicle 460.0 1166.0 476.0 1185.0 difficult
small-vehicle 469.0 1263.0 489.0 1282.0 difficult
small-vehicle 562.0 1526.0 581.0 1542.0 difficult
small-vehicle 512.0 1268.0 530.0 1290.0 difficult
small-vehicle 519.0 1259.0 535.0 1275.0 difficult
small-vehicle 517.0 1301.0 533.0 1321.0 difficult
small-vehicle 554.0 1379.0 573.0 1397.0 difficult
small-vehicle 597.0 1498.0 615.0 1516.0 difficult
small-vehicle 615.0 1501.0 629.0 1520.0 difficult
small-vehicle 654.0 1582.0 669.0 1600.0 difficult
small-vehicle 437.0 2148.0 458.0 2165.0 difficult
small-vehicle 404.0 2188.0 419.0 2207.0 difficult
small-vehicle 1009.0 3351.0 1020.0 3369.0 difficult
swimming-pool 145.0 1504.0 180.0 1529.0
small-vehicle 899.0 2416.0 913.0 2430.0 difficult
small-vehicle 880.0 2402.0 894.0 2420.0 difficult
small-vehicle 869.0 2407.0 886.0 2427.0 difficult
small-vehicle 925.0 2437.0 944.0 2450.0 difficult
small-vehicle 940.0 2427.0 960.0 2443.0 difficult
small-vehicle 956.0 2420.0 977.0 2435.0 difficult
small-vehicle 973.0 2413.0 994.0 2428.0 difficult
small-vehicle 941.0 2269.0 960.0 2288.0 difficult
small-vehicle 947.0 2278.0 965.0 2296.0 difficult
small-vehicle 202.0 2356.0 213.0 2374.0 difficult
small-vehicle 206.0 2374.0 220.0 2390.0 difficult
small-vehicle 247.0 2437.0 265.0 2462.0 difficult
small-vehicle 565.0 2232.0 588.0 2244.0 difficult
small-vehicle 552.0 2429.0 572.0 2446.0 difficult
small-vehicle 531.0 2438.0 552.0 2455.0 difficult
small-vehicle 576.0 2442.0 595.0 2454.0 difficult
small-vehicle 560.0 2446.0 578.0 2461.0 difficult
small-vehicle 920.0 2409.0 942.0 2425.0 difficult
small-vehicle 940.0 2401.0 960.0 2413.0 difficult
small-vehicle 954.0 2394.0 976.0 2409.0 difficult
small-vehicle 825.0 2050.0 844.0 2064.0 difficult
swimming-pool 237.0 1671.0 278.0 1697.0
swimming-pool 170.0 1719.0 198.0 1744.0
small-vehicle 654.0 1773.0 671.0 1795.0 difficult
small-vehicle 686.0 1835.0 704.0 1847.0 difficult
small-vehicle 603.0 1797.0 624.0 1811.0 difficult
small-vehicle 628.0 1780.0 644.0 1802.0 difficult
small-vehicle 144.0 2326.0 164.0 2345.0 difficult
small-vehicle 833.0 2060.0 852.0 2074.0 difficult
small-vehicle 885.0 2159.0 905.0 2176.0 difficult
small-vehicle 833.0 2140.0 848.0 2159.0 difficult
small-vehicle 822.0 2142.0 840.0 2161.0 difficult
small-vehicle 814.0 2148.0 831.0 2166.0 difficult
small-vehicle 800.0 2154.0 819.0 2174.0 difficult
small-vehicle 864.0 2131.0 882.0 2144.0 difficult
small-vehicle 863.0 2122.0 879.0 2135.0 difficult
small-vehicle 857.0 2113.0 876.0 2124.0 difficult
small-vehicle 418.0 620.0 437.0 634.0 difficult
small-vehicle 220.0 689.0 238.0 713.0 difficult
small-vehicle 147.0 457.0 162.0 479.0 difficult
small-vehicle 122.0 398.0 136.0 413.0 difficult
bridge 885.0 3050.0 983.0 3097.0
bridge 890.0 3066.0 990.0 3115.0
swimming-pool 1134.0 4212.0 1175.0 4254.0
swimming-pool 786.0 4258.0 826.0 4296.0
swimming-pool 859.0 4369.0 891.0 4405.0
swimming-pool 928.0 4371.0 971.0 4411.0
swimming-pool 971.0 4386.0 1010.0 4417.0
swimming-pool 811.0 4465.0 841.0 4498.0
roundabout 2264.0 2415.0 2461.0 2613.0
tennis-court 2189.0 1549.0 2266.0 1647.0
tennis-court 2242.0 1523.0 2319.0 1622.0
roundabout 2678.0 624.0 2789.0 736.0
soccer-ball-field 2945.0 2099.0 3413.0 2526.0 difficult
storage-tank 3448.0 3946.0 3472.0 3968.0
roundabout 3764.0 3246.0 3842.0 3330.0
roundabout 3500.0 2378.0 3517.0 2395.0
tennis-court 3309.0 2544.0 3407.0 2629.0
swimming-pool 573.0 3070.0 600.0 3107.0
swimming-pool 353.0 3157.0 385.0 3185.0
swimming-pool 346.0 3124.0 382.0 3156.0
swimming-pool 597.0 2755.0 625.0 2795.0
swimming-pool 120.0 1422.0 156.0 1465.0
swimming-pool 470.0 2619.0 506.0 2648.0
swimming-pool 551.0 2692.0 582.0 2730.0
swimming-pool 387.0 2624.0 434.0 2663.0
swimming-pool 528.0 2554.0 558.0 2584.0
swimming-pool 341.0 2399.0 368.0 2440.0
swimming-pool 524.0 2747.0 568.0 2805.0
swimming-pool 545.0 2818.0 570.0 2852.0
swimming-pool 332.0 3090.0 371.0 3124.0
swimming-pool 229.0 2847.0 271.0 2893.0
swimming-pool 201.0 2919.0 236.0 2959.0
swimming-pool 230.0 2970.0 283.0 3018.0
swimming-pool 308.0 2982.0 337.0 3030.0
swimming-pool 323.0 3056.0 351.0 3100.0
swimming-pool 325.0 3020.0 361.0 3053.0
swimming-pool 234.0 3170.0 273.0 3201.0
tennis-court 3339.0 2601.0 3437.0 2682.0
bridge 1252.0 2924.0 1377.0 2965.0
bridge 1256.0 2940.0 1384.0 2984.0
small-vehicle 234.0 474.0 257.0 491.0 difficult
small-vehicle 206.0 406.0 225.0 416.0 difficult
small-vehicle 210.0 414.0 229.0 426.0 difficult
small-vehicle 213.0 423.0 232.0 437.0 difficult
small-vehicle 222.0 439.0 238.0 452.0 difficult
small-vehicle 223.0 451.0 242.0 463.0 difficult
small-vehicle 229.0 460.0 247.0 471.0 difficult
small-vehicle 231.0 468.0 250.0 482.0 difficult
small-vehicle 239.0 483.0 258.0 499.0 difficult
ship 90.0 190.0 125.0 238.0 difficult
small-vehicle 242.0 498.0 263.0 508.0 difficult
small-vehicle 161.0 530.0 172.0 545.0 difficult
small-vehicle 175.0 523.0 186.0 540.0 difficult
small-vehicle 120.0 431.0 141.0 459.0 difficult
small-vehicle 89.0 292.0 102.0 311.0 difficult
small-vehicle 277.0 202.0 297.0 215.0 difficult
small-vehicle 216.0 625.0 229.0 641.0 difficult
small-vehicle 194.0 378.0 210.0 390.0 difficult
small-vehicle 143.0 263.0 163.0 278.0 difficult
bridge 1597.0 3620.0 1738.0 3713.0
swimming-pool 444.0 3391.0 474.0 3419.0
bridge 1245.0 3919.0 1295.0 3942.0
bridge 4097.0 3952.0 4374.0 4307.0
roundabout 1068.0 826.0 1078.0 838.0 difficult
roundabout 1726.0 826.0 1735.0 836.0 difficult
